batch_idx,n_train,acc_running,cumulative_regret,acc_ds1000,acc_ddxplus,acc_hotpotqa,pg_loss,mean_kl,adv_std,ppo_clipfrac,gen_time_s,train_time_s
35,100,0.4444,200.0000,0.3482,0.4275,0.5556,-0.547870,0.040553,0.4604,0.0425,8.0,12.9
36,100,0.4459,205.0000,0.3509,0.4307,0.5546,-0.633646,0.052330,0.4462,0.0346,10.3,13.2
37,100,0.4474,210.0000,0.3448,0.4357,0.5565,-0.646124,0.061170,0.4316,0.0443,4.8,13.0
38,100,0.4462,216.0000,0.3361,0.4437,0.5556,-0.689446,0.063230,0.4104,0.0550,8.2,13.1
39,100,0.4450,222.0000,0.3440,0.4422,0.5469,-0.639858,0.053518,0.4057,0.0541,3.8,12.8
40,100,0.4390,230.0000,0.3386,0.4371,0.5379,-0.614634,0.053958,0.4011,0.0569,2.9,12.8
41,100,0.4381,236.0000,0.3359,0.4416,0.5333,-0.585464,0.053498,0.3970,0.0646,4.4,12.8
42,100,0.4395,241.0000,0.3284,0.4522,0.5324,-0.483790,0.054193,0.4189,0.0737,3.0,13.0
43,100,0.4432,245.0000,0.3333,0.4601,0.5282,-0.476339,0.052960,0.4301,0.0646,3.0,13.0
44,100,0.4422,251.0000,0.3286,0.4643,0.5282,-0.526367,0.053110,0.4198,0.0587,4.9,12.9
45,100,0.4435,256.0000,0.3217,0.4713,0.5315,-0.494796,0.052912,0.4260,0.0602,3.6,12.9
46,100,0.4447,261.0000,0.3265,0.4746,0.5274,-0.252275,0.043170,0.4697,0.0541,10.9,13.0
47,100,0.4479,265.0000,0.3289,0.4751,0.5333,-0.209269,0.045512,0.4790,0.0481,4.7,12.8
48,100,0.4429,273.0000,0.3247,0.4703,0.5298,-0.146906,0.045601,0.4809,0.0482,6.2,12.7
49,100,0.4440,278.0000,0.3208,0.4759,0.5325,-0.196208,0.055751,0.4767,0.0428,3.9,13.0
50,100,0.4490,281.0000,0.3272,0.4815,0.5346,-0.208989,0.060456,0.4879,0.0408,4.2,13.0
51,100,0.4481,287.0000,0.3253,0.4844,0.5309,-0.176464,0.061270,0.4911,0.0382,4.1,13.0
52,100,0.4453,294.0000,0.3198,0.4845,0.5305,-0.211179,0.077694,0.4829,0.0384,4.9,12.8
53,100,0.4426,301.0000,0.3179,0.4798,0.5266,-0.188593,0.078313,0.4776,0.0363,2.6,12.9
54,100,0.4455,305.0000,0.3202,0.4826,0.5322,-0.232348,0.080140,0.4779,0.0410,6.2,13.1
55,100,0.4482,309.0000,0.3187,0.4828,0.5429,-0.222387,0.087607,0.4820,0.0434,3.7,13.4
56,100,0.4456,316.0000,0.3102,0.4829,0.5449,-0.438791,0.089006,0.4398,0.0455,7.5,13.2
57,100,0.4431,323.0000,0.3138,0.4714,0.5440,-0.392785,0.101153,0.4356,0.0497,4.6,13.2
58,100,0.4424,329.0000,0.3089,0.4720,0.5459,-0.406796,0.102494,0.4421,0.0548,6.1,13.7
59,100,0.4433,334.0000,0.3144,0.4676,0.5474,-0.368420,0.095656,0.4496,0.0629,3.0,13.3
60,100,0.4426,340.0000,0.3081,0.4749,0.5440,-0.421851,0.090823,0.4249,0.0690,4.2,13.3
61,100,0.4435,345.0000,0.3069,0.4749,0.5477,-0.372960,0.092581,0.4397,0.0657,5.0,13.7
62,100,0.4413,352.0000,0.3043,0.4753,0.5450,-0.322812,0.077740,0.4498,0.0624,5.8,13.7
63,100,0.4437,356.0000,0.3143,0.4714,0.5468,-0.240004,0.084437,0.4753,0.0617,5.4,13.6
64,99,0.4415,363.0000,0.3131,0.4652,0.5485,-0.289576,0.083649,0.4563,0.0692,28.7,13.6
65,99,0.4394,370.0000,0.3119,0.4632,0.5450,-0.269852,0.079796,0.4472,0.0683,3.8,13.7
